Stock,Date,Open,High,Low,Close,Volume
A,2/17/15,40.01,40.53,39.76,40.52,2875788
A,2/18/15,41.12,42.2,40.91,41.54,9007218
A,2/19/15,41.4,41.57,41.04,41.15,3737331
A,2/20/15,41.09,42.11,40.88,41.95,2971880
A,2/23/15,41.89,41.96,41.49,41.73,1967913
A,2/24/15,41.62,42.11,41.6,42.06,1922102
A,2/25/15,42.34,42.49,42.09,42.2,2343479
A,2/26/15,42.23,42.38,42,42.36,1505418
A,2/27/15,42.3,42.36,42.05,42.21,1676351
A,3/2/15,42.34,42.74,42.34,42.7,1847082
A,3/3/15,42.45,42.57,42.14,42.26,1635437
A,3/4/15,41.95,42.16,41.73,42,1305992
A,3/5/15,41.99,42.24,41.84,42.22,1376468
A,3/6/15,41.95,42.05,41.49,41.53,1528564
A,3/9/15,41.54,41.89,41.44,41.74,1492378
A,3/10/15,41.22,41.27,40.63,40.63,1961299
A,3/11/15,40.79,41.13,40.67,40.85,2064355
A,3/12/15,40.99,41.24,40.97,41.1,2719895
A,3/13/15,40.96,41.46,40.52,40.87,4704560
A,3/16/15,41.16,41.83,41.11,41.81,2551437
A,3/17/15,41.52,41.69,41.06,41.58,1504881
A,3/18/15,41.45,42.38,41.17,42.12,1295556
A,3/19/15,42.05,42.25,41.82,42.21,1085684
A,3/20/15,42.39,42.53,42.2,42.21,2315332
A,3/23/15,42.12,42.44,42,42.2,1835393
A,3/24/15,42.13,42.13,41.01,41.09,3625952
A,3/25/15,41.17,41.7,40.79,40.81,2776181
A,3/26/15,40.68,40.97,40.37,40.7,1573740
A,3/27/15,40.6,41.18,40.58,41.11,1932749
A,3/30/15,41.59,41.86,41.32,41.72,2064181
A,3/31/15,41.28,41.78,41.1,41.55,1659169
A,4/1/15,41.46,41.52,40.72,41.39,2170331
A,4/2/15,41.47,42.13,41.33,42.05,2135918
A,4/6/15,41.68,42.2,41.51,41.93,2379808
A,4/7/15,41.94,42.52,41.87,42.44,3072418
A,4/8/15,42.43,42.59,42.03,42.26,2443178
