Stock,Date,Open,High,Low,Close,Volume
A,737351,74,74.82,73.77,74.57,2121895
A,737354,74.88,75.51,74.69,75.48,1739523
A,737355,75.68,76.33,74.64,74.69,1327981
A,737356,75.02,75.89,74.68,74.98,1828337
A,737357,75.03,75.11,74.46,75,1582478
A,737358,74.7,75.97,74.13,75.39,835050
A,737361,75.69,76.56,75.69,76.15,1143869
A,737362,75.05,76.68,74.94,76.17,1113263
A,737363,76.04,76.15,75.24,76.12,914844
A,737364,76,76.12,75.1,75.75,970472
A,737365,76.51,77.35,76.32,76.97,1106314
A,737368,77.68,77.85,76.73,76.74,1010174
A,737369,76.82,76.91,75.47,75.55,2362670
A,737370,75.7,75.94,74.94,75.79,1355737
A,737371,76.34,76.38,75.68,75.91,860939
A,737372,75.9,76.65,75.65,76.64,1231456
A,737375,76.25,76.85,76.13,76.85,1149169
A,737376,77,77.55,76.72,77.05,1008787
A,737377,76.82,77.5,76.56,77.16,1104429
A,737378,77.21,77.45,76.48,76.76,1113519
A,737379,76.93,78.31,76.61,78.26,1700368
A,737382,78.14,78.5,77.5,77.94,1641215
A,737383,78.17,79.49,77.84,79.29,1704766
A,737384,79.16,79.36,78.21,78.52,2429830
A,737385,78.97,78.97,77.31,78.3,2142169
A,737386,78.61,79.19,78.23,79.12,1869712
A,737389,79.45,80.46,79.3,80.26,2642559
A,737390,78.57,81.03,77.96,80.95,5330601
A,737391,81.08,81.34,80.69,81.08,1628005
A,737393,80.96,81.24,80.47,80.77,835780
A,737396,80.78,80.99,80.02,80.35,1775635
A,737397,79.52,80.11,79.17,80.1,2110132
A,737398,80.3,81,80.18,80.93,1690909
A,737399,80.89,81.74,80.5,81.53,1900031
A,737400,82.24,82.42,81.82,82.21,1783441
A,737403,82.34,82.47,81.55,81.62,1941323
A,737404,82.9,83.8,82.7,82.93,3067695
A,737405,82.93,83.47,82.57,83.42,1718397
A,737406,83.49,84.98,83.17,84.81,1920881
A,737407,84.67,84.74,83.59,83.71,1811165
A,737410,84.47,84.97,84,84.45,1371246
A,737411,84.76,84.86,83.78,83.95,1653196
A,737412,83.75,84.05,83.36,83.43,2025494
A,737413,83.95,84.67,83.56,84.51,1696006
A,737414,84.94,85.31,84.32,85.19,2287898
A,737417,85.42,85.44,84.76,85.26,816020
A,737418,85.45,85.45,84.98,85.3,271858
A,737420,85.31,85.64,85.09,85.45,649078
A,737421,85.68,85.68,85.11,85.42,767716
A,737424,85.34,85.4,84.64,84.9,742820
A,737425,84.84,85.34,84.67,85.31,1176222
A,737427,85.9,86.35,85.2,85.95,1392522
A,737428,84.67,85.33,84.5,84.57,1118322
A,737431,84,84.82,83.6,84.82,1993195
A,737432,83.96,85.26,83.94,85.08,1723146
A,737433,85.96,86.47,85.2,85.92,1847585
A,737434,86.46,87.7,86.17,87.27,1912699
A,737435,87.72,88.24,87.32,87.59,1417028
A,737438,87.81,88.32,86.74,87.46,1630160
A,737439,87.27,88.21,86.7,87.99,1675253
A,737440,87.63,89.11,87.55,88.62,1630364
A,737441,89.12,89.49,88.86,89.46,1595891
A,737442,89.97,90.28,89.21,90.12,3718336
AAL,737351,27.8,28.32,27.71,28.22,5693560
AAL,737354,28.51,28.91,28.43,28.62,6789511
AAL,737355,28.5,28.69,27.82,28.26,8093942
AAL,737356,28.25,28.4,27.88,28.29,8437075
AAL,737357,29.27,29.85,28.49,29.41,17963268
